1950s,1960s,1970s,1980s,1990s,2000s
10.903,10.999,11.006,11.22,11.661,11.466
11.319,11.405,11.36,11.462,11.98,11.825
10.927,10.873,10.854,10.98,11.33,11.086
11.303,11.271,11.108,11.316,11.869,11.599
11.138,11.239,11.196,11.602,11.945,11.767
9.448,9.62,9.321,9.532,9.774,9.734
10.224,10.313,10.118,10.369,10.652,10.297
11.787,11.853,11.626,11.933,12.306,12.269
11.648,11.888,11.797,12.164,12.589,12.536
10.526,10.836,10.641,11.238,11.53,11.217
10.422,10.52,10.275,10.648,11.382,11.267
12.763,13.033,13.022,13.013,13.379,13.447
10.73,10.9,10.913,11.134,11.754,11.318
7.388,7.673,7.615,7.707,8.114,8.415
10.71,10.811,10.621,11.083,11.492,11.882
10.022,10.342,10.075,10.257,10.817,10.782
10.146,10.343,9.987,10.442,10.831,10.87
12.007,12.207,12.085,12.387,12.699,12.759
10.144,10.433,10.179,10.3,10.81,10.476
9.4,9.608,9.63,10.209,10.643,10.149
