Population,Vanadium,Iron,Beryllium,SatHydroCarb,AroHydroCarb
1,5,47,0.07,7.06,6.1
1,3.4,32,0.2,5.82,4.69
1,1.2,12,0,5.54,3.15
1,8.4,17,0.07,6.31,4.55
1,4.2,36,0.5,9.25,4.95
1,4.2,35,0.5,5.69,2.22
1,3.9,41,0.1,5.63,2.94
1,3.9,36,0.07,6.19,2.27
1,7.3,32,0.3,8.02,12.92
1,4.4,46,0.07,7.54,5.76
1,3,30,0,5.12,10.77
2,6.3,13,0.5,4.24,8.27
2,1.7,5.6,1,5.69,4.64
2,7.3,24,0,4.34,2.99
2,7.8,18,0.5,3.92,6.09
2,7.8,25,0.7,5.39,6.2
2,7.8,26,1,5.02,2.5
2,9.5,17,0.05,3.52,5.71
2,7.7,14,0.3,4.65,8.63
2,11,20,0.5,4.27,8.4
2,8,14,0.3,4.32,7.87
2,8.4,18,0.2,4.38,7.98
2,10,18,0.1,3.06,7.67
2,7.3,15,0.05,3.76,6.84
2,9.5,22,0.3,3.98,5.02
2,8.4,15,0.2,5.02,10.12
2,8.4,17,0.2,4.42,8.25
2,9.5,25,0.5,4.44,5.95
2,7.2,22,1,4.7,3.49
2,4,12,0.5,5.71,6.32
2,6.7,52,0.5,4.8,3.2
2,9,27,0.3,3.69,3.3
2,7.8,29,1.5,6.72,5.75
2,4.5,41,0.5,3.33,2.27
2,6.2,34,0.7,7.56,6.93
2,5.6,20,0.5,5.07,6.7
2,9,17,0.2,4.39,8.33
2,8.4,20,0.1,3.74,3.77
2,9.5,19,0.5,3.72,7.37
2,9,20,0.5,5.97,11.17
2,6.2,16,0.05,4.23,4.18
2,7.3,20,0.5,4.39,3.5
2,3.6,15,0.7,7,4.82
2,6.2,34,0.07,4.84,2.37
2,7.3,22,0,4.13,2.7
2,4.1,29,0.7,5.78,7.76
2,5.4,29,0.2,4.64,2.65
2,5,34,0.7,4.21,6.5
2,6.2,27,0.3,3.97,2.97
